Date,In percent
1/1/1961,3.108
1/1/1962,3.215
1/1/1963,3.375
1/1/1964,2.952
1/1/1965,2.566
1/1/1966,2.649
1/1/1967,2.406
1/1/1968,1.864
1/1/1969,2.852
1/1/1970,5.575
1/1/1971,0.6144
1/1/1972,0.881
1/1/1973,2.446
1/1/1974,1.666
1/1/1975,-1.28
1/1/1976,1.281
1/1/1977,0.5849
1/1/1978,1.902
1/1/1979,4.074
1/1/1980,5.73
1/1/1981,8.72
1/1/1982,8.151
1/1/1983,6.586
1/1/1984,8.203
1/1/1985,6.525
1/1/1986,6.19
1/1/1987,5.511
1/1/1988,5.617
1/1/1989,6.724
1/1/1990,6.085
1/1/1991,4.969
1/1/1992,3.884
1/1/1993,3.537
1/1/1994,4.906
1/1/1995,6.606
1/1/1996,6.33
1/1/1997,6.617
1/1/1998,7.191
1/1/1999,6.366
1/1/2000,6.803
1/1/2001,4.539
1/1/2002,3.092
1/1/2003,2.087
1/1/2004,1.548
1/1/2005,2.879
1/1/2006,4.74
1/1/2007,5.249
1/1/2008,3.066
1/1/2009,2.472
1/1/2010,2.004
1/1/2011,1.161
1/1/2012,1.429
1/1/2013,1.734
1/1/2014,1.765
