Date,In US dollars per year
1/1/1947,3.54E+10
4/1/1947,3.57E+10
7/1/1947,3.78E+10
10/1/1947,4.18E+10
1/1/1948,4.36E+10
4/1/1948,4.45E+10
7/1/1948,4.54E+10
10/1/1948,4.53E+10
1/1/1949,4.27E+10
4/1/1949,4.14E+10
7/1/1949,4.09E+10
10/1/1949,4.22E+10
1/1/1950,4.47E+10
4/1/1950,4.95E+10
7/1/1950,5.45E+10
10/1/1950,5.44E+10
1/1/1951,5.42E+10
4/1/1951,5.26E+10
7/1/1951,5.22E+10
10/1/1951,5.24E+10
1/1/1952,5.34E+10
4/1/1952,5.45E+10
7/1/1952,5.16E+10
10/1/1952,5.55E+10
1/1/1953,5.78E+10
4/1/1953,5.85E+10
7/1/1953,5.91E+10
10/1/1953,5.85E+10
1/1/1954,5.77E+10
4/1/1954,5.88E+10
7/1/1954,6.11E+10
10/1/1954,6.25E+10
1/1/1955,6.49E+10
4/1/1955,6.81E+10
7/1/1955,7.05E+10
10/1/1955,7.16E+10
1/1/1956,7.19E+10
4/1/1956,7.34E+10
7/1/1956,7.47E+10
10/1/1956,7.49E+10
1/1/1957,7.56E+10
4/1/1957,7.52E+10
7/1/1957,7.65E+10
10/1/1957,7.56E+10
1/1/1958,7.07E+10
4/1/1958,6.93E+10
7/1/1958,7.05E+10
10/1/1958,7.48E+10
1/1/1959,7.93E+10
4/1/1959,8.21E+10
7/1/1959,8.32E+10
10/1/1959,8.24E+10
1/1/1960,8.53E+10
4/1/1960,8.39E+10
7/1/1960,8.21E+10
10/1/1960,8.18E+10
1/1/1961,8.09E+10
4/1/1961,8.23E+10
7/1/1961,8.43E+10
10/1/1961,8.69E+10
1/1/1962,8.87E+10
4/1/1962,9.13E+10
7/1/1962,9.20E+10
10/1/1962,9.16E+10
1/1/1963,9.28E+10
4/1/1963,9.68E+10
7/1/1963,9.89E+10
10/1/1963,1.02E+11
1/1/1964,1.05E+11
4/1/1964,1.06E+11
7/1/1964,1.08E+11
10/1/1964,1.10E+11
1/1/1965,1.15E+11
4/1/1965,1.19E+11
7/1/1965,1.22E+11
10/1/1965,1.26E+11
1/1/1966,1.30E+11
4/1/1966,1.31E+11
7/1/1966,1.31E+11
10/1/1966,1.29E+11
1/1/1967,1.27E+11
4/1/1967,1.31E+11
7/1/1967,1.34E+11
10/1/1967,1.39E+11
1/1/1968,1.44E+11
4/1/1968,1.45E+11
7/1/1968,1.48E+11
10/1/1968,1.55E+11
1/1/1969,1.61E+11
4/1/1969,1.64E+11
7/1/1969,1.67E+11
10/1/1969,1.66E+11
1/1/1970,1.66E+11
4/1/1970,1.66E+11
7/1/1970,1.69E+11
10/1/1970,1.71E+11
1/1/1971,1.77E+11
4/1/1971,1.87E+11
7/1/1971,1.92E+11
10/1/1971,1.99E+11
1/1/1972,2.10E+11
4/1/1972,2.15E+11
7/1/1972,2.19E+11
10/1/1972,2.32E+11
1/1/1973,2.44E+11
4/1/1973,2.50E+11
7/1/1973,2.55E+11
10/1/1973,2.56E+11
1/1/1974,2.56E+11
4/1/1974,2.60E+11
7/1/1974,2.65E+11
10/1/1974,2.61E+11
1/1/1975,2.54E+11
4/1/1975,2.57E+11
7/1/1975,2.67E+11
10/1/1975,2.76E+11
1/1/1976,2.90E+11
4/1/1976,3.00E+11
7/1/1976,3.08E+11
10/1/1976,3.27E+11
1/1/1977,3.46E+11
4/1/1977,3.70E+11
7/1/1977,3.83E+11
10/1/1977,3.98E+11
1/1/1978,4.09E+11
4/1/1978,4.46E+11
7/1/1978,4.67E+11
10/1/1978,4.87E+11
1/1/1979,5.02E+11
4/1/1979,5.12E+11
7/1/1979,5.34E+11
10/1/1979,5.39E+11
1/1/1980,5.45E+11
4/1/1980,5.12E+11
7/1/1980,5.29E+11
10/1/1980,5.61E+11
1/1/1981,5.81E+11
4/1/1981,5.98E+11
7/1/1981,6.08E+11
10/1/1981,6.19E+11
1/1/1982,6.10E+11
4/1/1982,5.98E+11
7/1/1982,5.87E+11
10/1/1982,5.89E+11
1/1/1983,6.01E+11
4/1/1983,6.21E+11
7/1/1983,6.57E+11
10/1/1983,6.95E+11
1/1/1984,7.18E+11
4/1/1984,7.50E+11
7/1/1984,7.68E+11
10/1/1984,7.84E+11
1/1/1985,7.94E+11
4/1/1985,8.05E+11
7/1/1985,8.06E+11
10/1/1985,8.26E+11
1/1/1986,8.33E+11
4/1/1986,8.40E+11
7/1/1986,8.43E+11
10/1/1986,8.55E+11
1/1/1987,8.43E+11
4/1/1987,8.58E+11
7/1/1987,8.76E+11
10/1/1987,8.83E+11
1/1/1988,8.92E+11
4/1/1988,9.15E+11
7/1/1988,9.24E+11
10/1/1988,9.44E+11
1/1/1989,9.57E+11
4/1/1989,9.65E+11
7/1/1989,9.87E+11
10/1/1989,9.79E+11
1/1/1990,9.97E+11
4/1/1990,9.81E+11
7/1/1990,9.79E+11
10/1/1990,9.59E+11
1/1/1991,9.40E+11
4/1/1991,9.45E+11
7/1/1991,9.47E+11
10/1/1991,9.48E+11
1/1/1992,9.57E+11
4/1/1992,9.90E+11
7/1/1992,1.00E+12
10/1/1992,1.04E+12
1/1/1993,1.05E+12
4/1/1993,1.07E+12
7/1/1993,1.09E+12
10/1/1993,1.14E+12
1/1/1994,1.16E+12
4/1/1994,1.18E+12
7/1/1994,1.20E+12
10/1/1994,1.23E+12
1/1/1995,1.27E+12
4/1/1995,1.27E+12
7/1/1995,1.29E+12
10/1/1995,1.32E+12
1/1/1996,1.35E+12
4/1/1996,1.39E+12
7/1/1996,1.42E+12
10/1/1996,1.45E+12
1/1/1997,1.47E+12
4/1/1997,1.50E+12
7/1/1997,1.56E+12
10/1/1997,1.57E+12
1/1/1998,1.61E+12
4/1/1998,1.66E+12
7/1/1998,1.69E+12
10/1/1998,1.73E+12
1/1/1999,1.77E+12
4/1/1999,1.81E+12
7/1/1999,1.85E+12
10/1/1999,1.87E+12
1/1/2000,1.93E+12
4/1/2000,1.98E+12
7/1/2000,2.00E+12
10/1/2000,2.01E+12
1/1/2001,2.00E+12
4/1/2001,1.98E+12
7/1/2001,1.97E+12
10/1/2001,1.92E+12
1/1/2002,1.91E+12
4/1/2002,1.91E+12
7/1/2002,1.90E+12
10/1/2002,1.91E+12
1/1/2003,1.93E+12
4/1/2003,1.97E+12
7/1/2003,2.04E+12
10/1/2003,2.09E+12
1/1/2004,2.11E+12
4/1/2004,2.18E+12
7/1/2004,2.25E+12
10/1/2004,2.31E+12
1/1/2005,2.38E+12
4/1/2005,2.44E+12
7/1/2005,2.51E+12
10/1/2005,2.55E+12
1/1/2006,2.63E+12
4/1/2006,2.62E+12
7/1/2006,2.61E+12
10/1/2006,2.60E+12
1/1/2007,2.61E+12
4/1/2007,2.63E+12
7/1/2007,2.61E+12
10/1/2007,2.59E+12
1/1/2008,2.55E+12
4/1/2008,2.52E+12
7/1/2008,2.46E+12
10/1/2008,2.31E+12
1/1/2009,2.12E+12
4/1/2009,2.01E+12
7/1/2009,1.99E+12
10/1/2009,1.98E+12
1/1/2010,1.98E+12
4/1/2010,2.04E+12
7/1/2010,2.04E+12
10/1/2010,2.09E+12
1/1/2011,2.10E+12
4/1/2011,2.15E+12
7/1/2011,2.24E+12
10/1/2011,2.30E+12
1/1/2012,2.40E+12
4/1/2012,2.45E+12
7/1/2012,2.46E+12
10/1/2012,2.50E+12
1/1/2013,2.54E+12
4/1/2013,2.57E+12
7/1/2013,2.61E+12
10/1/2013,2.65E+12
1/1/2014,2.71E+12
4/1/2014,2.75E+12
7/1/2014,2.82E+12
10/1/2014,2.85E+12
1/1/2015,2.87E+12
4/1/2015,2.90E+12
7/1/2015,2.94E+12
10/1/2015,2.94E+12
1/1/2016,2.94E+12
